funcao;categoria;assinatura_oficial;situacao;id_matriz;fonte
SolicitarExclusaoUsuario;outros;byte SolicitarExclusaoUsuario(int Inner, string Usuario);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarListaUsuariosBio;biometria;byte SolicitarListaUsuariosBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarListaUsuariosBioVariavel;biometria;byte SolicitarListaUsuariosBioVariavel(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarListaUsuariosComDigital;biometria;byte SolicitarListaUsuariosComDigital(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarModeloBio;biometria;byte SolicitarModeloBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarQuantidadeUsuariosBio;biometria;byte SolicitarQuantidadeUsuariosBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarTemplateLeitor;biometria;byte SolicitarTemplateLeitor(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarTotalUsuariosVerid;biometria;byte SolicitarTotalUsuariosVerid(int Inner, byte Modo);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarUsuarioCadastradoBio;biometria;byte SolicitarUsuarioCadastradoBio(int Inner, string Usuario);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
SolicitarVersaoBio;biometria;byte SolicitarVersaoBio(int Inner);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
TemProximoPacote;outros;int TemProximoPacote();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
TemProximoUsuario;outros;int TemProximoUsuario();ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
UsuarioFoiEnviado;outros;byte UsuarioFoiEnviado(int Inner, byte OnLine);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
UsuarioFoiExcluido;outros;byte UsuarioFoiExcluido(int Inner, byte OnLine);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
Utilizar215;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
UtilizarCmdCurtoCatraca;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
UtilizarRelogioSegundos;outros;SEM ASSINATURA PUBLICADA;SO_O_NOME;;tabela de exportacao da DLL
UtilizarSenhaAcesso;outros;byte UtilizarSenhaAcesso(byte Utiliza);ASSINATURA_CONHECIDA;;SDK 6.0.2.0 EasyInner.cs
